Neighborhood,Asian_population%
Arleta,10.33
Arlington Heights,13.09
Atwater Village,21.54
Beverly Glen,6.7
Brentwood,8.56
Cypress Park,10.15
Downtown Historic Core,12.99
Dowtown Fashion District,4.63
Echo Park,20.86
El Sereno,10.62
Florence-Graham,49.57
Griffith Park,0
Harvard Heights,9.65
Hyde Park,0.68
Jefferson Park,2.77
Leimert Park,3.23
North Hills,13.93
Pacific Palisades,5.35
Playa Vista,22.43
Reseda,12.87
Shadow Hills,5.89
Sun Valley,6.6
Venice,5.67
Virgil Village,23.91
West Hollywood,20.16
Westchester,11.2
Westlake,16.54
Westwood,25.86
Winnetka,17.01
